Kenteken,"As nummer","Aantal assen","Aangedreven as",Hefas,"Plaatscode as",Spoorbreedte,"Weggedrag code","Wettelijk toegestane maximum aslast","Technisch toegestane maximum aslast"
SH774J,2,2,,,A,160,,1460,
TB112B,1,2,,,V,161,,1085,
TB847H,1,2,,,V,158,,1030,1030
TD550G,2,2,,,A,157,,1065,
TD993G,2,2,,,A,161,,1280,
TB126X,2,2,,,A,155,,1020,
TD073B,1,2,,,V,148,,900,900
SZ213B,2,2,,,A,171,,1800,1800
TD677D,1,2,,,V,153,,810,810
TB654F,1,2,,,V,159,,1090,1090
TB031F,2,2,,,A,141,,650,650
TB327V,1,2,,,V,153,,900,900
TD122K,2,2,,,A,154,,1180,
TB776F,2,2,,,A,146,,1160,
TB202T,1,2,,,V,161,,1075,1075
SX709J,1,2,,,V,154,,1040,1040
TB108R,2,2,,,A,156,,1050,1050
SZ157X,1,2,,,V,139,,740,740
TB030S,1,2,,,V,150,,900,900
TB876J,1,2,,,V,156,,1080,1080
OR47KG,2,3,,N,A,,,9000,9000
TB818R,2,2,,,A,148,,770,770
TD881J,2,2,,,A,169,,1775,
SV971P,1,2,,,V,154,,920,
SX929S,1,2,,,V,156,,965,
TB845B,1,2,,,V,153,,887,887
TB827G,2,2,,,A,150,,940,940
SZ373L,1,2,,,V,154,,945,945
V067NH,2,2,,N,A,174,,2250,2250
TB037Z,1,2,,,V,150,,850,850
SR401N,1,2,,,V,157,,1025,1025
TB982D,2,2,,,A,148,,800,800
SL742S,2,2,,,A,157,,1055,1055
SX520Z,2,2,,,A,147,,815,815
TB268F,1,2,,,V,148,,920,920
OR45KH,1,3,,J,A,,,9000,9000
SZ951T,1,2,,,V,161,,1085,1085
SZ318G,2,2,,,A,163,,1300,1300
SZ583J,2,2,,,A,153,,1065,1065
SZ945R,1,2,,,V,155,,960,960
TD986J,1,2,,,V,160,,1150,
SK724Z,2,2,,,A,161,,1050,1050
SZ651Z,1,2,,,V,171,,1470,1470
V752PR,2,2,,N,A,172,,2250,2250
SB080K,2,2,,,A,152,,850,850
TD477F,1,2,,,V,162,,1580,
SK876R,1,2,,,V,156,,915,
TB561N,2,2,,,A,156,,1170,1170
TB813B,2,2,,,A,151,,852,852
09WSSP,3,3,,N,A,,,1350,1350
SX918K,1,2,,,V,146,,770,
TB960J,2,2,,,A,150,,1000,1000
TD859G,2,2,,,A,152,,900,
SN598V,1,2,,,V,154,,1040,
TB017L,2,2,,,A,154,,990,990
SZ891R,2,2,,,A,140,,720,720
TB565R,1,2,,,V,166,,1300,1300
TD255K,2,2,,,A,146,,770,
OR02JZ,3,3,,J,A,,,9000,9000
TB327T,2,2,,,A,154,,1255,1255
TD604H,2,2,,,A,154,,1135,
SX200B,1,2,,,V,154,,970,970
78WSPD,2,2,,N,A,,,1350,1350
TB023K,1,2,,,V,153,,920,920
16WSSH,1,2,,N,A,,,1500,1500
SZ650R,1,2,,,V,152,,920,920
04BLB5,1,3,N,N,V,,,9000,9000
SX135J,1,2,,,V,181,,1850,1850
35BLB6,1,3,N,N,V,213,,8000,8000
SZ331R,2,2,,,A,156,,970,970
SZ862F,1,2,,,V,150,,850,850
OR64KH,3,3,,J,A,,,9000,9000
TB959J,2,2,,,A,150,,1000,1000
SZ576V,1,2,,,V,141,,710,710
SX120K,1,2,,,V,154,,865,865
SZ988X,2,2,,,A,161,,1075,1075
TB683J,2,2,,,A,155,,950,950
TB102Z,2,2,,,A,152,,867,867
SK570K,2,2,,,A,151,,893,
SV575X,2,2,,,A,148,,800,800
SB548K,1,2,,,V,149,,850,850
SX350T,1,2,,,V,148,,1050,1050
3KSR93,2,2,,,A,164,,2800,
TD540B,1,2,,,V,141,,740,740
TB370X,2,2,,,A,140,,640,
TB400X,2,2,,,A,155,,990,
TD196F,2,2,,,A,166,,1470,1470
TB836B,1,2,,,V,150,,850,850
SF459H,1,2,,,V,148,,900,900
TB860H,1,2,,,V,150,,915,915
TB760G,2,2,,,A,155,,1070,1070
SZ570G,2,2,,,A,167,,1480,1480
SX264L,2,2,,,A,147,,830,830
SX215R,1,2,,,V,158,,1200,1200
V751PV,2,2,,N,A,,,2800,3700
SZ225N,1,2,,,V,148,,855,
SV173J,2,2,,,A,149,,790,
TB956B,2,2,,,A,155,,960,960
RS471D,2,2,,,A,157,,910,
SX599X,1,2,,,V,150,,870,870
TD579H,2,2,,,A,156,,990,990
SX492S,2,2,,,A,150,,700,700
V080PS,1,2,,,V,151,,1200,1200
TB994K,2,2,,,A,163,,1335,1335
SZ040Z,2,2,,,A,159,,1100,1100
V873PT,1,2,,,V,162,,1585,1585
TB714S,2,2,,,A,198,,2000,
V214PZ,2,2,,N,A,179,,2400,2400
RT175S,1,2,,,V,144,,870,870
V077LZ,1,2,,N,V,176,,1550,1550
SZ586R,2,2,,,A,158,,955,955
SJ908D,2,2,,,A,140,,720,720
SZ989F,1,2,,,V,143,,600,600
TB756G,2,2,,,A,157,,1120,1120
TB002X,1,2,,,V,166,,1300,1300
SZ381T,1,2,,,V,153,,965,965
33BJHD,1,2,,N,V,162,,1630,1630
TB029D,2,2,,,A,155,,980,980
OR54JY,1,3,,N,A,,,9000,9000
91WSSV,2,2,,N,A,,,10000,10000
TB639H,2,2,,,A,156,,970,970
77WSSJ,1,3,,N,V,,,10000,10000
OR75KG,3,3,,N,A,,,9000,9000
TB094K,2,2,,,A,150,,980,980
TB686J,2,2,,,A,155,,950,950
SV519V,2,2,,,A,154,,910,910
V857PP,1,2,,,V,162,,1550,1550
TB038Z,1,2,,,V,150,,850,850
SV307Z,1,2,,,V,148,,900,900
TB640P,1,2,,,V,162,,1050,1050
SZ085Z,2,2,,,A,156,,1050,1050
18WSSB,2,2,,N,A,,,1200,1200
TD917G,1,2,,,V,146,,960,
65TGB7,2,2,,,,170,,1555,1555
SZ554V,2,2,,,A,150,,880,880
TB406K,1,2,,,V,147,,900,900
SV667S,1,2,,,V,165,,1190,1190
TB013Z,2,2,,,A,152,,867,867
SX156Z,1,2,,,V,146,,855,
TD328J,1,2,,,V,100,,963,
OR81FG,3,3,,N,A,,,9000,9000
V095PZ,2,2,,,A,153,,1230,1230
54BKZ5,1,2,N,N,V,,,8000,8000
SX556F,1,2,,,V,154,,895,895
TB078K,2,2,,,A,141,,650,650
98WSRB,3,3,,N,A,,,1350,1350
V587PV,1,2,,,V,173,,1750,1750
SZ614V,2,2,,,A,156,,1080,1080
TB197R,2,2,,,A,154,,1070,1070
TD711G,1,2,,,V,156,,1040,
ST981B,1,2,,,V,162,,1190,1190
TD337K,1,2,,,V,155,,990,
SZ693G,1,2,,,V,155,,945,945
SX962G,2,2,,,A,166,,1420,1420
TB477H,1,2,,,V,141,,830,830
SX622K,2,2,,,A,146,,825,
48YD80,1,2,,,V,133,,830,
49WSRN,2,4,,N,V,,,9000,10000
SX274L,1,2,,,V,155,,975,975
TD807D,2,2,,,A,156,,980,980
TD111K,2,2,,,A,143,,790,
V461PS,2,2,,,A,173,,2100,2100
SX845D,1,2,,,V,142,,820,
TB473H,1,2,,,V,141,,830,830
V011LZ,2,2,,N,A,163,,1650,1650
SZ295B,1,2,,,V,158,,1040,1040
SX232Z,2,2,,,A,152,,980,
SR603X,1,2,,,V,139,,740,740
TD156K,2,2,,,A,157,,1090,
49WSRN,3,4,,N,A,,,9000,10000
SX191J,2,2,,,A,147,,730,730
TD303D,1,2,,,V,145,,840,
TB997X,1,2,,,V,160,,1080,1080
TB874D,1,2,,,V,153,,1070,1070
SZ902F,1,2,,,V,158,,1070,1070
SZ235S,2,2,,,A,156,,1070,1070
OR32KK,1,3,,N,A,,,9000,9000
SZ333V,2,2,,,A,156,,1060,1060
SZ692Z,2,2,,,A,156,,1075,1075
SZ168J,2,2,,,A,151,,852,
TB383Z,2,2,,,A,161,,1375,1375
OR08KK,2,3,,N,A,,,9000,9000
V527PR,2,2,,,A,162,,1800,1800
RS471D,1,2,,,V,157,,1075,
SX219F,1,2,,,V,150,,915,915
TD232B,2,2,,,A,147,,750,750
OR90KF,3,3,,N,A,,,9000,9000
V884NT,1,2,,N,V,153,,1000,1000
TD881J,1,2,,,V,169,,1500,
TB270P,2,2,,,A,167,,1210,
71WSNV,1,2,,N,A,,,1200,1200
TB137F,2,2,,,A,152,,970,970
TD289K,2,2,,,A,151,,860,
V346PK,2,2,,N,A,186,,2100,2100
SZ246F,1,2,,,V,141,,770,
TB527D,1,2,,,V,159,,1060,1060
SK705V,2,2,,,A,147,,805,
SX022V,2,2,,,A,154,,921,921
SK244G,1,2,,,V,154,,1065,
TD009K,2,2,,,A,147,,825,
V680NF,1,2,,N,V,163,,1500,1500
91WSSP,2,2,,N,A,,,10000,10000
SZ720V,1,2,,,V,158,,1080,1080
V796PV,1,2,,,V,154,,1075,1075
TB779L,2,2,,,A,142,,670,670
SZ579Z,2,2,,,A,156,,1020,1020
SX011P,1,2,,,V,157,,1115,
TD831J,2,2,,,A,173,,1550,
SJ087F,2,2,,,A,158,,950,950
40YD92,1,2,,N,V,171,,1292,1292
SV570N,2,2,,,A,154,,1050,1050
SR293J,2,2,,,A,153,,1010,1010
SG964H,2,2,,,A,168,,1520,
SZ772F,2,2,,,A,151,,876,876
V359PZ,2,2,,N,A,165,,1550,1550
V011PX,2,2,,,A,153,,1230,1230
V016PZ,1,2,,,V,162,,1585,1585
SZ663Z,2,2,,,A,170,,1450,1450
16WSSH,2,2,,N,A,,,1500,1500
TB323L,2,2,,,A,157,,1000,1000
TD281K,2,2,,,A,179,,2400,
SX297P,2,2,,,A,158,,1020,
V942PR,1,2,,N,V,163,,1280,1280
TD809G,1,2,,,V,161,,1170,
TB747D,2,2,,,A,153,,930,930
TD727G,1,2,,,V,162,,1530,
50BKT3,2,3,N,J,A,,,7500,7500
SH163J,1,2,,,V,156,,970,970
TB289H,2,2,,,A,151,,893,
SZ692H,2,2,,,A,149,,815,815
08WSSP,1,3,,N,A,,,1200,1200
OR93JY,3,3,,N,A,,,9000,9000
TD257K,1,2,,,V,155,,930,
SZ163S,2,2,,,A,148,,800,800
SV971P,2,2,,,A,152,,880,
V579RB,2,2,,N,A,165,,1550,1550
ST345N,2,2,,,A,163,,1250,
TD814J,1,2,,,V,175,,1750,
TB287D,1,2,,,V,155,,1015,1015
V856RB,2,2,,,A,163,,1650,1650
TB462R,2,2,,,A,154,,995,995
RT173R,2,2,,,A,154,,940,940
TB868R,2,2,,,A,141,,650,650
TD074D,1,2,,,V,155,,1140,
TB354P,2,2,,,A,159,,1090,
TB826S,2,2,,,A,163,,1200,1200
TB987S,1,2,,,V,139,,740,740
SR456N,2,2,,,A,171,,1800,1800
V917PT,2,2,,,A,153,,1070,1070
RZ930X,2,2,,,A,151,,852,
TD124K,1,2,,,V,154,,1040,
SZ027H,1,2,,,V,159,,1140,1140
V866NV,1,2,,,V,162,,1710,1710
TD957J,1,2,,,V,155,,1005,
TB676F,2,2,,,A,163,,1070,1070
TB001X,1,2,,,V,166,,1300,1300
SX773H,2,2,,,A,163,,1150,1150
TB664D,1,2,,,V,159,,1060,1060
SX748T,1,2,,,V,149,,890,890
TB318X,1,2,,,V,141,,770,
TD510G,2,2,,,A,160,,1055,
V752PR,1,2,,N,V,171,,1650,1650
TB059G,1,2,,,V,141,,740,740
05BLD2,3,3,N,J,A,,,7500,7500
SX125J,2,2,,,A,152,,870,870
DZ5825,2,2,,,A,141,,,
SZ520B,1,2,,,V,158,,1010,1010
V362RB,1,2,,,V,163,,1500,1500
37BLD1,1,3,N,N,V,,,9000,9000
DZ5818,2,2,,,A,124,,,
BE9081,1,2,,N,V,150,,946,946
TD732G,2,2,,,A,152,,1010,
TD617B,1,2,,,V,162,,1340,1340
TD468G,2,2,,,A,149,,780,
TD328J,2,2,,,A,100,,963,
RJ197G,1,2,,,V,153,,930,930
TD656G,1,2,,,V,157,,990,
OR20KK,2,3,,N,A,,,9000,9000
SX725J,2,2,,,A,151,,910,910
46WSSF,1,1,,N,A,,,1700,1700
TD759D,1,2,,,V,154,,1050,1050
TB598F,2,2,,,A,147,,750,750
TD786G,2,2,,,A,156,,980,
TB031X,2,2,,,A,153,,1110,
SZ578N,2,2,,,A,152,,765,765
TB209V,1,2,,,V,153,,975,975
V252RB,1,2,,,V,177,,1800,1800
V065PX,1,2,,N,V,167,,1550,1550
TB496J,2,2,,,A,157,,1200,1200
V248PZ,1,2,,,V,152,,1125,1125
TD809G,2,2,,,A,159,,1243,
SV383V,2,2,,,A,142,,695,695
V355PB,1,2,,,V,151,,1080,1080
ST652G,1,2,,,V,141,,700,
TB063K,1,2,,,V,158,,1110,1110
V200PZ,1,2,,N,V,163,,1600,1600
TB226N,1,2,,,V,150,,860,860
SB354B,2,2,,,A,141,,695,
SZ956G,2,2,,,A,145,,825,825
TB108X,2,2,,,A,152,,900,
SZ636F,1,2,,,V,156,,970,970
SZ693P,1,2,,,V,153,,940,940
TD479G,2,2,,,A,160,,1550,
TB399G,1,2,,,V,161,,1055,1055
SZ331R,1,2,,,V,155,,1030,1030
48YD73,1,2,,,V,161,,1527,
TB319L,1,2,,,V,155,,955,955
TB045L,1,2,,,V,155,,1070,1070
SZ134S,1,2,,,V,158,,1040,1040
SZ106X,1,2,,,V,154,,1040,1040
TD640G,2,2,,,A,143,,790,
TB974K,1,2,,,V,142,,700,700
TB530G,2,2,,,A,140,,720,720
SZ120Z,2,2,,,A,153,,1120,1120
TD125F,1,2,,,V,161,,1085,1085
RX285P,1,2,,,V,154,,870,
TD168D,1,2,,,V,172,,1650,
V079PS,2,2,,,A,156,,1300,1300
SX263P,1,2,,,V,154,,1150,
TB045L,2,2,,,A,154,,990,990
TB435G,1,2,,,V,156,,1045,1045
TD873J,2,2,,,A,155,,1225,
14WSSN,1,1,,N,A,,,3000,3000
TB850P,2,2,,,A,160,,1294,1294
TB865B,1,2,,,V,156,,920,920
SB052R,2,2,,,A,151,,893,893
V682PV,1,2,,N,V,170,,1650,1650
TB590D,2,2,,,A,141,,650,650
SZ750H,1,2,,,V,157,,755,755
TD599G,2,2,,,A,155,,1550,
SZ971V,2,2,,,A,161,,1200,1200
TB414B,1,2,,,V,151,,820,820
V447PH,2,2,,N,A,171,,1769,1769
TD047K,1,2,,,V,157,,1105,
PS930N,2,2,,,A,150,,925,
SZ679K,2,2,,,A,148,,790,790
SJ583J,1,2,,,V,149,,950,
TD699G,2,2,,,A,150,,1040,
OR01KH,1,3,,J,A,,,9000,9000
TB004Z,2,2,,,A,158,,1060,1060
V315PS,2,2,,,A,177,,2250,2250
TB217F,1,2,,,V,159,,1100,1100
SZ906L,2,2,,,A,157,,1000,
SZ446T,1,2,,,V,150,,805,805
58WSRN,1,2,,N,A,,,1000,1000
SZ074Z,2,2,,,A,163,,1430,1430
TB982X,1,2,,,V,156,,920,920
TD546B,1,2,,,V,141,,740,740
TB776B,1,2,,,V,143,,600,600
TB222K,2,2,,,A,149,,860,860
SN890H,2,2,,,A,141,,695,
25BLB9,1,3,N,N,V,,,8000,8000
RF985N,2,2,,,A,157,,1090,
TD805J,2,2,,,A,162,,1310,
TB330V,1,2,,,V,153,,900,900
08BLD2,1,3,N,N,V,,,8000,8000
SN088Z,1,2,,,V,153,,1020,1020
SN297Z,2,2,,,A,164,,1370,1370
SG220Z,1,2,,,V,158,,1285,
TD368D,1,2,,,V,152,,1080,
18WSSR,2,2,,N,A,,,1350,1350
OR61KJ,3,3,,N,A,,,10000,10000
OR66KH,2,3,,N,A,,,9000,9000
SZ488D,1,2,,,V,156,,995,995
